Station,Depth,Species,Colony_Number,Frag_ID,Tag_ID,Timepoint,Date,Photo,Mortality_%,Notes
531S,Shallow,PRUS,77,77_4,O_096,0,9/12/2024,N,MISSING,MISSING
531S,Shallow,PRUS,97,97_14,O_073,0,9/12/2024,Y,50,
531S,Shallow,PRUS,68,68_3,O_094,0,9/12/2024,Y,0,
531S,Shallow,PRUS,96,96_11,O_083,0,9/12/2024,Y,25,
531S,Shallow,PRUS,69,69_13,O_089,0,9/12/2024,Y,0,
531S,Shallow,PRUS,79,79_21,O_066,0,9/12/2024,Y,25,
531S,Shallow,PRUS,1107,1107_8,O_052,0,9/12/2024,Y,75,
531S,Shallow,PRUS,87,87_11,O_080,0,9/12/2024,Y,0,
531S,Shallow,PRUS,86,86_14,O_054,0,9/12/2024,Y,0,
532S,Shallow,PCOM,1000,1000_4,B_091,0,9/12/2024,Y,50,
532S,Shallow,PCOM,997,997_9,B_070,0,9/12/2024,Y,25,
532S,Shallow,PCOM,1110,1110_6,B_086,0,9/12/2024,Y,25,
532S,Shallow,PCOM,98,98_7,B_043,0,9/12/2024,Y,0,
532S,Shallow,PCOM,1113,1113_10,B_085,0,9/12/2024,N,MISSING,MISSING
532S,Shallow,PCOM,1105,1105_1,B_051,0,9/12/2024,Y,25,
532S,Shallow,PCOM,1108,1108_20,B_023,0,9/12/2024,Y,0,
532S,Shallow,PCOM,1112,1112_5,B_094,0,9/12/2024,N,MISSING,MISSING
532S,Shallow,PRUS,68,68_1,O_061,0,9/12/2024,Y,25,
532S,Shallow,PRUS,69,69_6,O_063,0,9/12/2024,Y,0,
532S,Shallow,PRUS,1107,1107_15,O_070,0,9/12/2024,Y,25,
532S,Shallow,PRUS,77,77_19,O_077,0,9/12/2024,Y,25,
532S,Shallow,PRUS,79,79_12,O_085,0,9/12/2024,Y,0,
532S,Shallow,PRUS,87,87_8,O_091,0,9/12/2024,Y,50,
532S,Shallow,PRUS,86,86_10,O_047,0,9/12/2024,Y,0,
532S,Shallow,PRUS,76,76_3,O_099,0,9/12/2024,Y,50,
532S,Shallow,PRUS,78,78_10,O_076,0,9/12/2024,Y,50,
532S,Shallow,PRUS,97,97_12,O_042,0,9/12/2024,Y,25,
533S,Shallow,PCOM,98,98_4,B_057,0,9/13/2024,Y,0,
533S,Shallow,PCOM,98,98_17,B_059,0,9/13/2024,N,MISSING,MISSING
533S,Shallow,PCOM,1105,1105_22,B_048,0,9/13/2024,Y,25,
533S,Shallow,PCOM,1000,1000_16,B_033,0,9/13/2024,Y,0,
533S,Shallow,PCOM,1149,1149_2,B_050,0,9/13/2024,Y,0,
533S,Shallow,PCOM,1109,1109_16,B_054,0,9/13/2024,Y,0,
533S,Shallow,PCOM,1110,1110_4,B_047,0,9/13/2024,Y,0,
533S,Shallow,PCOM,1112,1112_24,B_009,0,9/13/2024,Y,75,
533S,Shallow,PRUS,77,77_21,O_045,0,9/13/2024,Y,0,
533S,Shallow,PRUS,1107,1107_18,O_040,0,9/13/2024,N,MISSING,MISSING
533S,Shallow,PRUS,96,96_25,O_036,0,9/13/2024,Y,25,
533S,Shallow,PRUS,86,86_19,O_039,0,9/13/2024,N,MISSING,MISSING
533S,Shallow,PRUS,68,68_9,O_038,0,9/13/2024,Y,50,
533S,Shallow,PRUS,97,97_10,O_049,0,9/13/2024,Y,75,
533S,Shallow,PRUS,79,79_18,O_055,0,9/13/2024,N,MISSING,MISSING
533S,Shallow,PRUS,78,78_1,O_035,0,9/13/2024,Y,0,
533S,Shallow,PRUS,69,69_14,O_059,0,9/13/2024,Y,25,
534S,Shallow,PCOM,98,98_21,B_040,0,9/13/2024,Y,0,
534S,Shallow,PCOM,1109,1109_8,B_018,0,9/13/2024,Y,0,
534S,Shallow,PCOM,1113,1113_1,B_030,0,9/13/2024,N,100,
534S,Shallow,PCOM,1108,1108_16,B_056,0,9/13/2024,Y,0,
534S,Shallow,PCOM,1112,1112_2,B_010,0,9/13/2024,N,MISSING,MISSING
534S,Shallow,PCOM,1000,1000_6,B_016,0,9/13/2024,Y,0,
534S,Shallow,PCOM,39,39_11,B_027,0,9/13/2024,Y,0,
534S,Shallow,PRUS,68,68_6,O_041,0,9/13/2024,Y,75,
534S,Shallow,PRUS,69,69_15,O_020,0,9/13/2024,Y,0,
534S,Shallow,PRUS,78,78_11,O_017,0,9/13/2024,Y,0,
534S,Shallow,PRUS,77,77_5,O_027,0,9/13/2024,Y,50,
534S,Shallow,PRUS,1107,1107_7,O_018,0,9/13/2024,N,100,
534S,Shallow,PRUS,97,97_8,O_050,0,9/13/2024,Y,75,
534S,Shallow,PRUS,89,89_79,O_053,0,9/13/2024,N,100,
534S,Shallow,PRUS,79,79_7,O_016,0,9/13/2024,Y,0,
534S,Shallow,PRUS,86,86_20,O_044,0,9/13/2024,Y,25,
534S,Shallow,PRUS,1107,1107_6,O_002,0,9/13/2024,Y,0,
535S,Shallow,PCOM,1000,1000_11,B_015,0,9/13/2024,N,MISSING,MISSING
535S,Shallow,PCOM,1108,1108_12,B_052,0,9/13/2024,N,MISSING,MISSING
